customer_id,signup_date,region,acquisition_channel,account_type,age,gender,risk_score,credit_score,email,phone
C100000,2021-12-12,penang,App store,Plus ,36.0,M,0.154,677.0,user100000@corp.co,+6019596980
C100001,2021-03-19,MNL,Offline  Event,PLUS ,31.0,M,0.29,672.0,user100001@mail.com,+6010657196
C100002,2023-05-05,Kuala  Lumpur,offline,standard,37.0,F,0.361,555.0,user100002@inbox.io,+6016153930
C100003,2023-01-31,Ho Chi Minh City,Offline  Event,PLS,44.0,M,0.115,770.0,user100003@corp.co,+6014778607
C100004,2022-11-25,MNL,offline,standard,30.0,F,0.509,,user100004@inbox.io,+6013590431
C100005,2022-03-10,KL,Offline  Event, Standard ,30.0,F,0.29,693.0,user100005@example.com,+6017462372
C100006,2021-11-15,Ho Chi Minh City,referral,PLS,45.0,F,0.244,601.0,user100006@inbox.io,+6018583140
C100007,2025-08-22,singapore ,Offline  Event,Premium ,38.0,F,0.314,,user100007@example.com,+6012905982
C100008,2021-09-28, BKK,Ads,STD,28.0,F,0.277,654.0,user100008@corp.co,+6015307945
C100009,2024-08-03,JAKARTA,paid ads,PRM,36.0,M,0.2,690.0,user100009@example.com,+6017190614
C100010,2021-04-09,Saigon,partner,Standard ,28.0,F,0.621,627.0,user100010@example.com,+6017245078
C100011,2021-04-03,Selangor,paid ads,Standard ,28.0,M,0.313,799.0,user100011@example.com,+6010817909
C100012,2021-10-19,Kuala Lumpur ,partner,plus,34.0,M,0.091,,user100012@mail.com,+6011439036
C100013,11/11/2022,Ho  Chi  Minh  City,partnership,PRM,18.0,M,0.272,733.0,user100013@corp.co,+6013351790
C100014,2022-12-24,sarawak,App store,PRM,18.0,F,0.452,679.0,user100014@example.com,+6013126017
C100015,2025-04-20,MNL,Offline  Event,Plus ,28.0,M,0.344,740.0,user100015@inbox.io,+6010309399
C100016,2021-03-24,Singapore,App store,Premium ,24.0,M,0.175,,user100016@corp.co,6012453018
C100017,2022-09-10,KL,Referal,Premium ,35.0,M,0.621,638.0,user100017@mail.com,+6016703333
C100018,2025-08-21,BKK,website,Premium ,25.0,F,0.401,649.0,user100018@mail.com,+6016384801
C100019,27/07/2024,penang,partner,plus,21.0,F,0.128,648.0,user100019@inbox.io,+6017900581
C100020,2022-11-16,Kuala  Lumpur,Offline--Event,Standard ,44.0,F,0.094,711.0,user100020@corp.co,+6014170411
C100021,2024-10-27,kuala-lumpur,partner,Plus ,30.0,F,0.178,715.0,user100021@example.com,+6013347349
C100022,2023-05-15,Saigon,Partner ,PRM,33.0,M,0.035,,user100022@example.com,+6011205274
C100023,2021-01-21,Sarawak,Ads,STD,21.0,M,0.574,677.0,user100023@mail.com,+6015195880
C100024,2022-05-12,Selangor,app-store,PRM,28.0,F,0.254,826.0,user100024@corp.co,6019534701
C100025,2024-08-06,HCMC,paid ads,Plus ,33.0,M,0.101,699.0,user100025@corp.co,+6018337819
C100026,2023-11-24,Penang,App store,plus,23.0,M,0.271,546.0,user100026@mail.com,+6019404799
C100027,2023-05-14,BKK,Offline  Event,premium,35.0,M,0.089,726.0,user100027@mail.com,+6018887020
C100028,2022-04-29,kuala-lumpur,Referral ,PLS,27.0,F,0.453,714.0,user100028@inbox.io,+6014265552
C100029,2022-10-31,bangkok,ADs,PLS,30.0,M,0.378,750.0,user100029@corp.co,+6012532278
C100030,2023-11-12,Manila,Offline  Event,standard,27.0,F,0.391,716.0,user100030@corp.co,+6016307091
C100031,2021-11-14,Kuala  Lumpur,Referral ,plus,47.0,M,0.29,626.0,user100031@mail.com,+6011485828
C100032,2021-10-16,HCMC,website,STD,32.0,F,0.346,733.0,user100032@mail.com,+6014322577
C100033,2024-03-26,SELANGOR ,website,PLS,24.0,M,0.226,686.0,user100033@inbox.io,+6010721812
C100034,2021-10-28, manila,Referal,PRM,39.0,M,0.412,743.0,user100034@mail.com,+6019130779
C100035,2024-01-21,Bangkok,IOS Store,Plus ,22.0,M,0.404,773.0,user100035@example.com,+6013773218
C100036,05/12/2023,Jakarta,Offline  Event,PLS,34.0,F,0.297,673.0,user100036@mail.com,+6014825007
C100037,02/04/2023,Saigon,partner,PRM ,18.0,M,0.522,733.0,user100037@inbox.io,+6019223206
C100038,2021-05-15,manila,Referral ,PRM,21.0,F,0.452,742.0,user100038@inbox.io,+6013179769
C100039,2024-11-28,Saigon,Referal,Premium ,34.0,F,0.119,690.0,user100039@corp.co,+6015960839
C100040,2025-07-25,Manila,Ads,PLS,38.0,F,0.123,797.0,user100040@mail.com,+6016771710
C100041,23/01/2022,Selangor,Offline  Event,PRM,33.0,M,0.093,743.0,user100041@example.com,+6015305505
C100042,2024-03-22,Johor ,Partnership,Premium ,31.0,M,0.16,645.0,user100042@mail.com,+6016553092
C100043,2021-09-02,selangor,website,PLS,30.0,M,0.344,696.0,user100043@example.com,+6017192231
C100044,2025-09-12,Sabah ,IOS Store,premium,20.0,F,0.692,732.0,user100044@corp.co,+6013520415
C100045,2023-06-30,Pulau Pinang,app-store,PLS,26.0,F,0.288,795.0,user100045@example.com,+6014539053
